YYYYMM,Value
199103,118.823
199104,111.147
199105,122.745
199106,131.945
199107,144.042
199108,144.107
199109,129.099
199110,124.058
199111,127.928
199112,133.633
199201,137.39
199202,121.125
199203,126.201
199204,118.33
199205,121.946
199206,129.054
199207,148.563
199208,142.166
199209,132.766
199210,126.405
199211,126.014
199212,139.605
199301,139.269
199302,128.056
199303,134.599
199304,119.596
199305,120.469
199306,136.697
199307,157.967
199308,156.392
199309,133.435
199310,130.321
199311,131.799
199312,143.919
199401,153.119
199402,131.25
199403,132.54
199404,120.392
199405,126.496
199406,146.639
199407,153.375
199408,151.757
199409,133.235
199410,129.229
199411,124.074
199412,136.675
199501,143.097
199502,127.774
199503,127.348
199504,118.414
199505,125.516
199506,138.913
199507,159.638
199508,167.717
199509,137.474
199510,132.871
199511,134.591
199512,147.39
199601,153.915
199602,138.446
199603,138.362
199604,124.885
199605,135.014
199606,147.23
199607,160.939
199608,162.998
199609,144.095
199610,143.399
199611,147.318
199612,155.809
199701,162.245
199702,135.873
199703,138.495
199704,130.325
199705,136.525
199706,147.624
199707,169.108
199708,164.925
199709,152.353
199710,152.153
199711,146.425
199712,160.993
199801,159.602
199802,138.682
199803,144.143
199804,133.418
199805,146.249
199806,158.591
199807,174.995
199808,174.745
199809,156.709
199810,147.334
199811,139.397
199812,154.318
199901,161.387
199902,138.081
199903,145.169
199904,137.504
199905,144.891
199906,157.377
199907,179.42
199908,173.707
199909,154.874
199910,147.523
199911,142.095
199912,154.387
200001,172.903
200002,155.75
200003,152.347
200004,137.295
200005,151.232
200006,165.771
200007,172.816
200008,179.476
200009,158.627
200010,156.631
200011,155.015
200012,169.514
200101,171.379
200102,146.187
200103,151.068
200104,136.46
200105,148.784
200106,159.457
200107,176.898
200108,180.673
200109,153.202
200110,146.64
200111,142.367
200112,156.713
200201,159.356
200202,139.482
200203,146.594
200204,138.353
200205,147.956
200206,161.561
200207,179.351
200208,177.391
200209,162.681
200210,156.051
200211,153.318
200212,167.785
200301,175.518
200302,152.63
200303,150.919
200304,138.322
200305,147.491
200306,160.056
200307,178.656
200308,181.673
200309,161.942
200310,155.337
200311,156.001
200312,172.427
200401,175.35
200402,157.548
200403,149.42
200404,138.155
200405,153.824
200406,164.022
200407,178.541
200408,175.913
200409,163.182
200410,155.596
200411,156.598
200412,174.92
200501,175.514
200502,153.555
200503,159.857
200504,140.548
200505,151.645
200506,171.133
200507,184.087
200508,186.022
200509,169.222
200510,160.682
200511,155.899
200512,175.664
200601,166.165
200602,154.226
200603,156.997
200604,138.082
200605,153.221
200606,166.169
200607,184.807
200608,186.844
200609,160.475
200610,159.328
200611,156.604
200612,170.779
200701,174.337
200702,159.772
200703,155.545
200704,144.038
200705,154.284
200706,170.559
200707,183.582
200708,188.407
200709,167.18
200710,159.36
200711,156.666
200712,173.557
200801,177.865
200802,163.114
200803,156.693
200804,144.524
200805,152.626
200806,168.239
200807,184.592
200808,179.993
200809,160.76
200810,150.605
200811,152.302
200812,168.073
200901,169.01
200902,138.457
200903,134.157
200904,125.161
200905,131.317
200906,147.22
200907,157.083
200908,161.543
200909,137.175
200910,138.952
200911,136.236
200912,164.564
201001,169.541
201002,149.732
201003,142.659
201004,125.288
201005,141.697
201006,163.128
201007,177.165
201008,176.655
201009,148.406
201010,132.129
201011,135.919
201012,165.3
201101,166.309
201102,135.738
201103,133.862
201104,123.65
201105,135.488
201106,155.016
201107,173.728
201108,169.987
201109,141.456
201110,128.32
201111,123.628
201112,135.527
201201,129.542
201202,115.247
201203,105.084
201204,94.674
201205,114.96
201206,131.167
201207,158.331
201208,151.36
201209,127.184
201210,121.741
201211,127.974
201212,133.974
201301,137.055
201302,122.562
201303,128.606
201304,110.959
201305,118.029
201306,137.026
201307,151.952
201308,149.701
201309,132.785
201310,121.075
201311,120.445
201312,141.155
201401,153.85
201402,140.102
201403,132.664
201404,106.751
201405,117.672
201406,136.577
201407,149.776
201408,148.995
201409,126.983
201410,112.3
201411,118.837
201412,124.629
201501,130.232
201502,122.417
201503,106.412
201504,88.646
201505,104.498
201506,126.28
201507,140.283
201508,135.156
201509,118.653
201510,98.469
201511,90.263
201512,91.658
201601,113.495
201602,92.416
201603,72.84
201604,71.41
201605,82.51
201606,115.772
201607,135.958
